file_name,average_x_data,std_x_data
tau_1ps_T_100K_pos.txt,8.023389540608605,4.522722217802207
tau_1ps_T_100K_vel.txt,1.3608847748636173,0.7457148040498193
tau_1ps_T_150K_pos.txt,7.951085377307047,4.55864077159841
tau_1ps_T_150K_vel.txt,1.3908223361996646,0.9085716358297137
tau_1ps_T_200K_pos.txt,7.836680382285357,4.659683006124767
tau_1ps_T_200K_vel.txt,1.3832698445465943,1.0472871336425404
tau_1ps_T_250K_pos.txt,8.023345407632627,4.650662859114883
tau_1ps_T_250K_vel.txt,1.4117227859538783,1.1035262743039593
tau_1ps_T_300K_pos.txt,8.066412312368973,4.495729023581661
tau_1ps_T_300K_vel.txt,1.3992884132075472,1.2502134563184792
tau_1ps_T_350K_pos.txt,7.656040349685536,4.481164630140333
tau_1ps_T_350K_vel.txt,1.3835406589098533,1.282239202706076
tau_1ps_T_400K_pos.txt,8.686763652201257,4.877608264296535
tau_1ps_T_400K_vel.txt,1.5231354725366877,1.4181789882048026
tau_1ps_T_450K_pos.txt,7.6598494041972724,4.608978751708723
tau_1ps_T_450K_vel.txt,1.3830280954879328,1.4856171364758437
tau_1ps_T_500K_pos.txt,7.940218143096584,4.700078700602172
tau_1ps_T_500K_vel.txt,1.4088829340037712,1.5598427889700408
tau_1ps_T_50K_pos.txt,8.023260688287156,4.5661084905026925
tau_1ps_T_50K_vel.txt,1.4031806136411331,0.561125929452301
tau_1ps_T_5K_pos.txt,7.74753554488255,4.5824405878699634
tau_1ps_T_5K_vel.txt,1.4005386742869126,0.31003599767202666
